"month_day","median","upr","lwr"
"02-23",29.0094456041667,29.3611354166666,28.5595331493056
"02-24",29.0241666666667,29.4007916666666,28.5604851111111
"02-25",28.9744444444444,29.34746875,28.4617770520833
"02-26",28.853125,29.23140625,28.2878322083333
"02-27",28.7720833333333,29.2623541666667,28.3360490868056
"02-28",28.693125,29.2023958333333,28.3208707152778
"02-29",28.4704166666667,29.1185416666667,28.055625
"03-01",28.7412892013889,29.1328645833333,28.3786354166666
"03-02",28.8185833333333,29.1295559409722,28.42353125
"03-03",28.6731957986111,29.1012720243056,28.3580833333333
"03-04",28.5457291666667,29.2452062534722,28.2045520833333
"03-05",28.4735474930556,29.2238373368056,28.1564583333334
"03-06",28.4629166666667,29.153,28.1274375
"03-07",28.560625,29.15196875,28.0924791666666
"03-08",28.6014583333333,29.1053541666667,28.064
"03-09",28.6064583333333,29.0698229166667,28.0272760659723
"03-10",28.5244965138889,28.9536493055556,28.0372344513888
"03-11",28.3810416666667,28.9697291666667,28.1145116597222
"03-12",28.40635,28.8572465277778,28.184660375
"03-13",28.3665375,28.7645625,28.0893036805556
"03-14",28.32625,28.7105520833333,28.0109471493056
"03-15",28.3583099097222,28.67928125,27.9981677083333
"03-16",28.3083333333333,28.67490625,27.9906606180555
"03-17",28.2120966736111,28.64721875,28.0113270902777
"03-18",28.198125,28.6782291666667,28.0102430555555
"03-19",28.1744282083333,28.5695625,27.9556567986111
"03-20",28.1672916666667,28.483625,27.9178819444445
"03-21",28.175,28.4971770833333,27.9362152777778
"03-22",28.1947916666667,28.6018229166667,27.9616937048611
"03-23",28.2427083333333,28.5556666666666,27.8571719097222
"03-24",28.2904166666667,28.5201770833334,27.8917063090278
"03-25",28.214375,28.4389791666666,27.7941568090278
"03-26",28.1704166666667,28.4402604166667,27.7680902777778
"03-27",28.1716666666667,28.49990625,27.7354690694444
"03-28",28.1870833333333,28.56590625,27.8238189930555
"03-29",28.1808887916667,28.60953125,27.8752153055555
"03-30",28.1897916666667,28.4798333333333,27.9046770833334
"03-31",28.1017647847222,28.4085729166666,27.9085102604166
"04-01",28.1552291666667,28.2469348263889,27.8240186388889
"04-02",28.0424375,28.2741320069444,27.7582658506944
"04-03",28.0960416666667,28.2233643645833,27.7176949444444
"04-04",27.9389628680556,28.1712395833333,27.6761868472223
"04-05",27.9790584166667,28.2373229166666,27.640625
"04-06",27.8705930208333,28.1870833333334,27.6574326388888
"04-07",27.7831431944444,28.1006770833334,27.564547
"04-08",27.7435315277778,28.0866666666667,27.5606875
"04-09",27.69625,28.02625,27.5069563645833
"04-10",27.7260416666667,28.0159375,27.4201257569445
"04-11",27.7189211041667,27.98375,27.2875351388888
"04-12",27.7583253541667,27.9278125,27.1677431493056
"04-13",27.5942792291667,27.9719791666667,27.1004171909722
"04-14",27.5272916666667,28.04346875,27.0585952465278
"04-15",27.4554166666667,28.0588541666667,27.0702558784722
"04-16",27.3914583333333,28.06625,27.0479664826389
"04-17",27.3321458333333,27.9544791666667,27.0492804652778
"04-18",27.4505555555556,27.8271016156462,27.0384384930556
"04-19",27.3997916666667,27.6968512152778,26.9392563229167
"04-20",27.3491489361702,27.6176853055555,26.8664026631944
"04-21",27.3564583333333,27.5989521666666,26.8489382986111
"04-22",27.2928333333333,27.5521610243055,26.8742608229166
"04-23",27.1807638888889,27.6341628368056,26.90485328125
"04-24",27.2272222222222,27.6732756076389,26.88724603125
"04-25",27.2622222222222,27.6144820347223,26.7736979166666
"04-26",27.2435416666667,27.5031795902778,26.6478645833334
"04-27",27.1294469722222,27.4758330729167,26.6565104166666
"04-28",27.0453845277778,27.4194805138889,26.6954237152777
"04-29",27.0335625,27.3336647222222,26.6483573923611
"04-30",27.0438958333333,27.3241053159723,26.5323528298611
"05-01",27.0204284513889,27.3025655034722,26.56394478125
"05-02",26.9263888888889,27.3031467574616,26.55809159375
"05-03",26.8861458333333,27.1381997847223,26.4891112395833
"05-04",26.8768125,26.9720372847222,26.41765625
"05-05",26.7685176944444,26.9253819444444,26.3042604166667
"05-06",26.7475712222222,26.9774298167849,26.200125
"05-07",26.5813819305556,26.9391097074468,26.1391864583333
"05-08",26.5558251527778,26.8899918958333,26.0906010416667
"05-09",26.5194934583333,26.8392633645833,26.0660708333333
"05-10",26.3992443888889,26.79841646875,25.997590625
"05-11",26.3638958333333,26.7763087291667,26.0175255069445
"05-12",26.1869244305556,26.6691041666666,25.74365484375
"05-13",26.1806336388889,26.6603020833333,25.7528208333333
"05-14",26.2907581388889,26.5793645833334,25.7083991493055
"05-15",26.2025,26.6104791666667,25.6583947951389
"05-16",26.215,26.6798958333333,25.7356815729166
"05-17",26.1748957430556,26.7084927083334,25.7099170277778
"05-18",26.0792916666667,26.6272385416666,25.6845686180556
"05-19",26.04625,26.4851447916667,25.6410070451388
"05-20",26.0161875,26.3896479166667,25.6225668645833
"05-21",26.0302083333333,26.339828625,25.5813475902778
"05-22",26.0283541666667,26.3205000868056,25.5650104166667
"05-23",26.0366666666667,26.2467619340277,25.5332859042553
"05-24",25.970823125,26.2102430555556,25.46465625
"05-25",25.9209166666667,26.2172916666666,25.3963645833334
"05-26",25.8181875,26.0468993055555,25.3330318888889
"05-27",25.6868541666667,26.0383819444445,25.36603471875
"05-28",25.6159583333333,26.044,25.3009329618056
"05-29",25.4236875,25.982753125,25.2787101354166
"05-30",25.4300971875,25.88236875,25.2221392569445
"05-31",25.3921041666667,25.7289236111111,25.2028958333333
"06-01",25.3615354166667,25.6460763888889,25.1682954930556
"06-02",25.3522708333333,25.5981145833333,25.1243737777778
"06-03",25.3208913043478,25.5260833333333,25.1356627326388
"06-04",25.3599125,25.5113708333333,25.02265625
"06-05",25.2224042553191,25.51316875,24.9642145243056
"06-06",25.1852083333333,25.4815833333334,24.9430948645833
"06-07",25.08726875,25.4253760416667,24.9936391458333
"06-08",25.0625,25.4024010416666,24.833114
"06-09",25.1158541666667,25.35830625,24.7183764513888
"06-10",25.0915416666667,25.26021875,24.7576275381944
"06-11",25.0236041666667,25.2119270833334,24.7981489583333
"06-12",24.986,25.1111458333333,24.74250625
"06-13",24.9444583333333,25.15859375,24.605715625
"06-14",24.8824375,25.2174652777778,24.4732319236112
"06-15",24.8180166666667,25.0615625,24.5265107916667
"06-16",24.7749875,25.0026145833334,24.5651475451388
"06-17",24.77206875,24.9817856354166,24.4814658819445
"06-18",24.7541666666667,24.9369479166667,24.416108625
"06-19",24.55625,24.89210625,24.4112203958333
"06-20",24.4766666666667,24.7946072916667,24.2436497083334
"06-21",24.4504166666667,24.7303854166667,24.0358248194444
"06-22",24.4139583333333,24.7269547326389,23.8621144027778
"06-23",24.2816666666667,24.5957523090278,23.7551260277778
"06-24",24.2359791666667,24.5685498368056,23.8183739756944
"06-25",24.2049791666667,24.5771092847222,23.7788989756944
"06-26",24.10475,24.5705120763889,23.69390765625
"06-27",24.021875,24.6757469166667,23.6947789930556
"06-28",24.0089583333333,24.757659375,23.7616521145833
"06-29",23.9546041666667,24.72125,23.65813921875
"06-30",23.9704166666667,24.7048229166667,23.5760326423611
"07-01",24.0008125,24.67025,23.55556875
"07-02",23.7796666666667,24.6007652395833,23.5086440034722
"07-03",23.8298958333333,24.5341048645833,23.4865569340278
"07-04",23.8768333333333,24.4527819965278,23.4008119166666
"07-05",23.9893333333333,24.3186458333333,23.4036458333333
"07-06",24.06575,24.3689201388889,23.2779515868055
"07-07",23.9881458333333,24.4025,23.3428506041666
"07-08",23.9085,24.2979645833333,23.42702784375
"07-09",23.7824375,24.1442225177305,23.4931943298611
"07-10",23.7507725972222,24.11078125,23.5562754583333
"07-11",23.647125,24.1597708333333,23.3978587326388
"07-12",23.6758333333333,24.2425520833334,23.3739508125
"07-13",23.68625,24.0311041666667,23.3033786805556
"07-14",23.7735208333333,23.9002324097222,23.2547073090278
"07-15",23.7164583333333,23.9233101597222,23.3246875
"07-16",23.7708125,23.9211614583333,23.3739666666667
"07-17",23.6339583333333,23.9682452534722,23.470243
"07-18",23.7298958333333,24.0335321319445,23.4341897152778
"07-19",23.5688541666667,24.1223118351064,23.2937901840277
"07-20",23.5228125,24.1568541666667,23.2002337326389
"07-21",23.4925,24.0533229166667,23.2365228402778
"07-22",23.550625,23.9444479166667,23.1729479166667
"07-23",23.4258333333333,23.9318229166667,23.1068594583333
"07-24",23.2836666666667,23.9472546354166,23.0913083333333
"07-25",23.2831868472222,23.9572883819445,23.0454166666667
"07-26",23.3835416666667,23.9076556076389,23.2240572916667
"07-27",23.385875,23.7962235729167,23.2096666666667
"07-28",23.5711041666667,23.7922875,23.2064896527778
"07-29",23.6131666666667,23.8622845966312,23.1980013541666
"07-30",23.5829868472222,23.7714822916667,23.1671385347222
"07-31",23.5112083333333,23.7301659756944,23.1423485902777
"08-01",23.3633125,23.74720971875,23.0855417048611
"08-02",23.3963333333333,23.7397247847222,23.0231460659722
"08-03",23.425625,23.8537891944444,23.021475
"08-04",23.4525208333333,23.9317933888889,23.0769625
"08-05",23.466875,23.9098189479166,23.0336697013889
"08-06",23.444625,24.0914180381945,22.9569580590277
"08-07",23.4935416666667,24.15540890625,22.9028015763889
"08-08",23.3402291666667,24.2233489036281,22.9656945208334
"08-09",23.3530833333333,24.14534375,22.8789218819444
"08-10",23.2664583333333,23.8478125,22.9682640381944
"08-11",23.5264270833334,23.8998229166667,23.0382460208333
"08-12",23.3977916666667,23.784625,22.92294
"08-13",23.4238333333333,23.8136979166666,22.9258170833333
"08-14",23.6301875,23.9219177748227,22.9694491284722
"08-15",23.473125,24.0608645833333,22.9616682777778
"08-16",23.3745,24.1171145833334,23.0234986145833
"08-17",23.561,24.1156666666666,23.0782516111111
"08-18",23.6427083333333,24.0545395833333,23.2241025277778
"08-19",23.7381458333333,24.1344666666666,23.25805
"08-20",23.7925,24.1049000443262,23.19389375
"08-21",23.6052604166667,24.00221875,23.1114069236111
"08-22",23.7102333333333,24.0938229166666,23.1812330972223
"08-23",23.8489770833333,24.12109375,23.3337388125
"08-24",23.7802041666667,24.2084583333333,23.3018861284722
"08-25",23.7030416666667,24.26590625,23.2844761215278
"08-26",23.7796666666667,24.1496875,23.3413426597223
"08-27",23.760375,24.21484375,23.3375301840278
"08-28",23.565,24.1217395833334,23.2359863472222
"08-29",23.6060416666667,24.0096145833333,23.2684614583333
"08-30",23.6848541666667,23.9216489361702,23.3305780138889
"08-31",23.740825,23.9600729166667,23.410565625
"09-01",23.8597916666667,24.18525,23.4102239583333
"09-02",23.8558229166667,24.2357378102837,23.4808943506944
"09-03",23.8252625,24.2338958333333,23.5283622083333
"09-04",23.9157708333333,24.2345,23.5137708333333
"09-05",23.8915,24.2762604166667,23.4473645833333
"09-06",23.8952724513889,24.3118638819445,23.5773416666666
"09-07",23.9521041666667,24.3045609618055,23.6819666666666
"09-08",24.0131875,24.336354625,23.7498135416667
"09-09",24.0038125,24.3023661840278,23.771809375
"09-10",24.0804375,24.435056,23.7148135416667
"09-11",24.1174375,24.5902291666667,23.6847666666666
"09-12",24.1540625,24.7358541666667,23.7197354166667
"09-13",24.1362916666667,24.7453645833333,23.6600104166667
"09-14",24.0723404255319,24.7901145833333,23.7015625
"09-15",24.0822916666667,24.8744583333334,23.81678125
"09-16",24.1429166666667,24.7298958333334,23.8208333333333
"09-17",24.2142395833333,24.6569479166667,23.8708229166667
"09-18",24.3060416666667,24.6837916666667,23.9672769930555
"09-19",24.3817291666667,24.7678125,23.9517239513888
"09-20",24.5074583333333,24.791125,24.0167680208333
"09-21",24.5356833333333,24.7729166666667,23.9880050763889
"09-22",24.45905625,24.8080208333334,23.8537739583333
"09-23",24.4393958333333,24.8480104166667,23.9219149618055
"09-24",24.4802291666667,25.0280104166666,23.9485416666666
"09-25",24.46730625,25.2451666666666,23.9651464027777
"09-26",24.58520625,25.2195104166667,23.9721348611111
"09-27",24.461025,25.1642708333334,24.0159621805556
"09-28",24.3395979166667,25.3354479166666,24.0731903298611
"09-29",24.44649375,25.50021875,24.1763856701389
"09-30",24.59778125,25.12459375,24.2097744097222
"10-01",24.5439583333333,25.0556875,24.3161031388889
"10-02",24.6152708333333,25.2050625,24.2785600347222
"10-03",24.8227083333333,25.2647695035461,24.3638430763889
"10-04",24.8476875,25.1427083333334,24.37434375
"10-05",24.9100833333333,25.2629166666666,24.3021875
"10-06",24.8757291666667,25.3326770833334,24.4739358854167
"10-07",24.956125,25.4091666666667,24.578680375
"10-08",24.9897708333333,25.49571875,24.7328854166666
"10-09",24.9659791666667,25.55415625,24.8052726319444
"10-10",25.0192916666667,25.6156979166666,24.8716329583333
"10-11",25.2012002708333,25.7009791666666,24.8948645833333
"10-12",25.0796666666667,25.7831979166667,24.83
"10-13",25.2848125,25.8796875,24.8370729166667
"10-14",25.1367916666667,25.9474895833333,24.9943838229167
"10-15",25.2285833333333,25.9437708333333,24.9874015381944
"10-16",25.2932708333333,25.9309895833333,25.0315104166666
"10-17",25.4266875,25.9667291666666,25.0536145833333
"10-18",25.4638958333333,25.9624270833333,25.0891354166667
"10-19",25.5208458333333,26.0230416666667,25.1414616578015
"10-20",25.5297708333333,26.222125,25.2323416666667
"10-21",25.5406875,26.216875,25.1984302083333
"10-22",25.6139583333333,25.9444236111111,25.1947985416666
"10-23",25.5980625,25.9275104166667,25.0943008254285
"10-24",25.6418770833333,26.0651805555555,25.174625
"10-25",25.7118229166667,26.2561458333333,25.2456041666667
"10-26",25.6980666666667,26.519,25.2963125
"10-27",25.7761169583333,26.5356111111111,25.44384375
"10-28",25.8393328125,26.6156047256945,25.4800877659574
"10-29",25.9190416666667,26.6439777777778,25.6593020833333
"10-30",25.8960625,26.6909166666666,25.6769583333333
"10-31",26.0210833333333,26.8237756180555,25.7081587534722
"11-01",26.0152,26.8051836493056,25.7566375902778
"11-02",26.0345833333333,26.6259449340277,25.7870909895833
"11-03",26.1975270833333,26.5972254270834,25.7680046423611
"11-04",26.0245833333333,26.6269675625,25.5233645833334
"11-05",26.126875,26.6827214166666,25.7037708333333
"11-06",26.119375,26.6655975902778,25.7278942819149
"11-07",26.2089361702128,26.6016458333333,25.7793854166666
"11-08",26.379375,26.6647765659722,25.8284318506945
"11-09",26.4179583333333,26.6556840138889,26.1047520833334
"11-10",26.3080625,26.7476736423611,26.0055177083333
"11-11",26.285875,26.8491827673611,26.1694270833333
"11-12",26.2946875,26.7615172395833,26.1101513194444
"11-13",26.3774125,26.8237752048611,26.0889895833334
"11-14",26.3395416666667,26.8046250243056,26.20666740625
"11-15",26.5814583333333,26.8791666666667,26.2663081666667
"11-16",26.6407958333333,27.0023680555556,26.2619966145833
"11-17",26.6490416666667,27.06325,26.4010208333333
"11-18",26.65375625,27.1507916666666,26.2442405
"11-19",26.6745895833333,27.2317013888889,26.2699935658455
"11-20",26.6072314444444,27.322900375,26.1703369565218
"11-21",26.5802770833333,27.5483321006945,26.1617916666667
"11-22",26.7476791666667,27.5199094513889,26.2345966006945
"11-23",26.8962208333333,27.37,26.2446666666666
"11-24",26.3777077361111,27.3529513888888,26.211
"11-25",26.3580499652778,27.3789895833334,26.3169375
"11-26",26.4820833333333,27.3923854166667,26.3057207881944
"11-27",26.6297708333333,27.4129480902778,26.4026117881944
"11-28",26.60075,27.3515694444445,26.37591740625
"11-29",26.7522110069444,27.3354787569445,26.3029760868056
"11-30",26.7478541666667,27.5654335208333,26.4813856180555
"12-01",26.9235884166667,27.6168743923611,26.5589583333334
"12-02",27.1040833333333,27.5681048611111,26.7563854166667
"12-03",26.9880833333333,27.4902138888889,26.8081875
"12-04",27.0703405972222,27.6477041666666,26.7712291666667
"12-05",27.3508162986111,27.7687152777778,26.7801784131944
"12-06",27.4516837569444,27.8880494097222,26.8214050520833
"12-07",27.4170886666667,27.9272307604166,26.8977203680556
"12-08",27.2361875,28.008044,26.8932172048611
"12-09",27.4169166666667,28.0266107638889,26.9206417569444
"12-10",27.420625,28.0956988263888,26.9168770555555
"12-11",27.67093725,28.1171089236111,27.1517554618055
"12-12",27.7127971736111,28.1487782048611,27.0639629479167
"12-13",27.6489347986111,28.1074194270834,27.2185900868055
"12-14",27.5651875,28.0886645833333,27.11846875
"12-15",27.6070056666667,28.1636875,27.33621875
"12-16",27.7455931041667,28.15496875,27.3153125
"12-17",27.7785304305556,28.1863052083334,27.38028125
"12-18",27.8827083333333,28.3288875,27.2056875
"12-19",27.7568045208333,28.269909375,27.1933333333333
"12-20",27.6694238333333,28.3208760416667,27.3534576284722
"12-21",27.8681043472222,28.3725041666667,27.2216145833333
"12-22",27.9037916666667,28.3114875,27.0764941319445
"12-23",27.9019750138889,28.3058458333334,27.104552875
"12-24",28.0737916666667,28.2427946527778,27.3106458333333
"12-25",28.0047874722222,28.3074722222223,27.3794479166666
"12-26",27.949768875,28.4539759270833,27.5310833333333
"12-27",28.098877125,28.5517866284723,27.65441234375
"12-28",27.965875,28.6388194444445,27.7910833333334
"12-29",28.1210208333333,28.6446875,27.89844415625
"12-30",28.0998196944444,28.5083802673611,27.78025
"12-31",28.166625,28.4395420868056,27.6840479166666
