"date","depth2m","depth6m","depth8m"
2003-06-06,25.6445833333333,NA,25.6825833333333
2004-06-06,25.0617708333333,NA,25.0967083333333
2005-06-06,26.311625,NA,26.2521645833333
2006-06-06,25.46883125,NA,25.4162395833333
2007-06-06,25.6703604166667,NA,25.31286875
2008-06-06,24.24259375,NA,24.2401833333333
2009-06-06,24.61949375,NA,NA
2010-06-06,25.7322222222222,NA,25.7399305555556
2011-06-06,24.2437760486111,NA,24.2588322708333
2012-06-06,24.0072382569444,NA,NA
2013-06-06,24.8709901944444,NA,24.8952938958333
2014-06-06,24.8630250069444,NA,24.7097454166667
2015-06-06,NA,NA,25.2810271428571
2018-06-06,24.2883204444444,NA,24.2297605555556
2019-06-06,23.9793625069444,NA,23.8712365555556
1995-07-06,NA,NA,23.15625
1996-07-06,24.5097916666667,NA,24.2646808510638
1998-07-06,24.29125,NA,23.6766666666667
1999-07-06,23.0947916666667,NA,23.199375
2000-07-06,22.5314583333333,NA,22.5985416666667
2001-07-06,24.3573333333333,NA,24.3148541666667
2002-07-06,24.0645625,NA,24.06575
2003-07-06,24.095375,NA,24.0942083333333
2004-07-06,23.9446666666667,NA,23.975375
2005-07-06,25.3453291666667,NA,25.2503854166667
2006-07-06,24.6145625,NA,24.6429854166667
2007-07-06,23.4919145833333,NA,23.1045645833333
2008-07-06,23.0775625,NA,23.0856604166667
2009-07-06,24.0361479166667,NA,NA
2010-07-06,24.4626388888889,NA,24.4229861111111
2011-07-06,23.2799870486111,NA,NA
2012-07-06,22.8030831111111,NA,NA
2013-07-06,24.5432453680556,NA,24.59734225
2014-07-06,23.9605792986111,NA,23.3565281736111
2018-07-06,24.2137922569444,NA,24.2615074166667
2019-07-06,23.2118343333333,NA,23.1880887638889
1995-08-06,NA,NA,23.2341666666667
1996-08-06,24.7222916666667,NA,24.595
1998-08-06,24.1395833333333,NA,23.4683333333333
1999-08-06,22.2393617021277,NA,22.2304166666667
2000-08-06,22.3795833333333,NA,22.43625
2001-08-06,23.969625,NA,23.8297708333333
2002-08-06,23.8596875,NA,23.9539583333333
2003-08-06,23.5260416666667,NA,23.444625
2004-08-06,NA,NA,23.23075
2005-08-06,24.572975,NA,24.51724375
2006-08-06,23.4055395833333,NA,23.4162541666667
2007-08-06,23.057725,NA,22.6315979166667
2008-08-06,22.9698625,NA,22.9834854166667
2009-08-06,23.1956,NA,NA
2010-08-06,24.7198611111111,NA,24.7475694444444
2011-08-06,22.989647125,NA,NA
2012-08-06,23.0251961319444,NA,NA
2013-08-06,24.1862019375,NA,24.2288777430556
2014-08-06,23.7766740972222,NA,23.1666708819444
2018-08-06,23.9899994513889,NA,23.9837745625
2019-08-06,22.8210484236111,NA,22.7472452361111
1995-09-06,NA,NA,23.253125
1996-09-06,23.975,NA,23.64
1997-09-06,24.2716666666667,NA,24.225
1998-09-06,25.1120833333333,NA,24.3922916666667
1999-09-06,23.68,NA,23.3570833333333
2000-09-06,23.62325,NA,23.5204583333333
2001-09-06,24.2509166666667,NA,24.2808541666667
2002-09-06,23.8385833333333,NA,24.135125
2003-09-06,23.8950625,NA,23.8627916666667
2004-09-06,NA,NA,23.4623333333333
2005-09-06,25.1891604166667,NA,25.0189625
2006-09-06,24.2865479166667,NA,24.0951104166667
2007-09-06,23.6508729166667,NA,23.634225
2008-09-06,23.27929375,NA,NA
2009-09-06,24.66913125,NA,NA
2010-09-06,25.3947222222222,NA,25.4157638888889
2011-09-06,23.5338892222222,NA,NA
